metric_date,open,high,low,close,volume,market_cap,market_cap_weekly_growth,market_cap_change,crypto
2024-01-07,1.0000953939,1.0009255195,0.9978137632,0.9999800232,40385623917.92,25384180608.91,3.525441406111085,864429459.6899986,USDC
2024-01-14,1.0000378127,1.0008578582,0.9993774478,1.0001913923,52946404020.61,25486391647.5,0.4026564424700174,102211038.59000015,USDC
2024-01-21,1.000155309,1.0016252137,0.9996938392,1.0000193286,32415694566.32,25774773289.0,1.1315122418606105,288381641.5,USDC
2024-01-28,1.0000207457,1.0011846109,0.9996997488,1.0001225105,36933785730.46,26142770904.91,1.427743366678036,367997615.90999985,USDC
2024-02-04,1.0001165938,1.0009201127,0.9997539783,1.0001271705,33065280907.9,27107305249.57,3.6894878058960634,964534344.6599998,USDC
2024-02-11,1.0001666838,1.0008896321,0.9993761165,0.9999424246,36765639872.31,27926388851.36,3.0216341840286542,819083601.7900009,USDC
2024-02-18,0.9999289148,1.0007798097,0.9992045795,1.0000520632,41030867600.15,28071806087.35,0.5207162184985403,145417235.98999786,USDC
2024-02-25,1.0000318691,1.0005585807,0.9992833173,0.9998749726,37616039776.82,28180925305.62,0.3887146339300651,109119218.27000046,USDC
2024-03-03,1.0000030989,1.0004350428,0.9980708498,0.9998900195,56448427946.85,29001243814.25,2.91089983644508,820318508.6300011,USDC
2024-03-10,0.9999008441,1.0015259342,0.9978895775,0.9999950556,75085489760.77,30141803644.56,3.932796253895776,1140559830.3100014,USDC
2024-03-17,1.0000031476,1.002098409,0.9984851535,1.0001537415,89529049499.22,30843460800.87,2.327853915393119,701657156.3099976,USDC
2024-03-24,1.0001884168,1.0017249635,0.9992227554,1.0001483332,69425869013.01,32025535920.69,3.832498329067713,1182075119.8199997,USDC
2024-03-31,1.0000920557,1.0011941533,0.9988471737,0.9999984528,53339818520.72,32419596997.18,1.2304589608301386,394061076.4900017,USDC
2024-04-07,0.9999740155,1.0012768787,0.9989891584,0.9999214138,69817868737.71,32937732237.34,1.5982161659969796,518135240.15999985,USDC
2024-04-14,0.9999504833,1.0017303731,0.9989704506,1.0002906447,64442157980.32,32348682412.93,-1.7883739541188604,-589049824.4099998,USDC
2024-04-21,1.0003060494,1.0011722886,0.9992663625,1.0000065447,57362438071.56,33943490879.05,4.93005695181743,1594808466.119999,USDC
2024-04-28,1.0000842749,1.0013093367,0.9995709388,1.0000637166,42445250126.88,33500399323.16,-1.3053800431689688,-443091555.8899994,USDC
2024-05-05,1.0000697706,1.0017250928,0.9993326779,1.0002257237,48737885017.67,33618199267.59,0.35163743361279476,117799944.4300003,USDC
2024-05-12,1.0002974327,1.0024673158,0.9996029651,1.0000267816,33908678016.600002,33129958998.2,-1.45230940391472,-488240269.3899994,USDC
2024-05-19,1.0000232823,1.0015741441,0.9994331006,0.9999527493,39936391537.67,33497672911.75,1.109913578733912,367713913.54999924,USDC
2024-05-26,0.9999710917,1.0015743228,0.9993192164,0.999953305,53171835126.97,32642522111.04,-2.552866293019529,-855150800.7099991,USDC
2024-06-02,0.9999463723,1.0012712868,0.9995194424,0.9999087583,37769859866.95,32360543487.57,-0.8638383471436306,-281978623.4700012,USDC
2024-06-09,0.9999570187,1.0010350437,0.9995783576,0.9999518821,36714539975.74,32212914442.69,-0.45620075860810516,-147629044.88000107,USDC
2024-06-16,0.9999605574,1.0007600569,0.9995986214,0.9999700039,35955626427.97,32512888197.48,0.9312220268789639,299973754.7900009,USDC
2024-06-23,1.0000302941,1.0015540527,0.9996861503,0.9999482128,33433868470.48,32708576331.86,0.6018786556008626,195688134.38000107,USDC
2024-06-30,0.9999778341,1.0008218194,0.9995470058,0.9999329053,36246506186.44,32254812371.84,-1.3872935202563608,-453763960.02000046,USDC
2024-07-07,0.9999015859,1.0009869192,0.999483086,0.9999017341,39491938226.53,33733965979.27,4.585838511097262,1479153607.4300003,USDC
2024-07-14,0.9998425651,1.001681989,0.9994904439,0.9999440089,37814799409.94,33946413696.23,0.6297739112280709,212447716.95999908,USDC
2024-07-21,1.0000667619,1.0014027504,0.9996028318,1.0000252902,44602866600.38,34004085775.54,0.16989152322859358,57672079.31000137,USDC
2024-07-28,1.0000258819,1.0012820603,0.9993536827,0.9999063794,41410334087.83,34148900490.71,0.4258744555754701,144814715.16999817,USDC
2024-08-04,0.9999186427,1.0017379702,0.9994907285,0.9999711301,46244943942.57,33271648952.39,-2.568901269774848,-877251538.3199997,USDC
2024-08-11,0.9999251669,1.0019099545,0.9987496656,0.9998440008,65950835599.33,34456032564.71,3.5597382444578995,1184383612.3199997,USDC
2024-08-18,0.9998577199,1.0012896343,0.9992443658,1.0004768332,37932788517.17,34824841549.46,1.0703756564466982,368808984.75,USDC
2024-08-25,1.0002432708,1.0013527576,0.9993231984,1.0000367191,37023401888.92,34806769557.62,-0.0518939671680374,-18071991.839996338,USDC
2024-09-01,0.9999579183,1.0020380527,0.9992495773,0.9999925326,38187094769.43,34742514868.61,-0.18460400039030933,-64254689.010002136,USDC
2024-09-08,1.0000128357,1.0012849503,0.9994818735,0.9999119026,38226732823.27,35012771108.84,0.7778833548810704,270256240.2299957,USDC
2024-09-15,1.0000538352,1.0014641032,0.9992834297,1.0000503864,35712500647.38,35722812129.58,2.027948654885914,710041020.7400055,USDC
2024-01-07,0.9974407543,1.0033714586,0.9966929932,0.9992286291,2174668309.12,2196151880.05,-4.710455632206045,-108562550.71000004,TrueUSD
2024-01-14,0.9995408332,1.001112148,0.9938783265,0.994594908,2186576498.68,2039305857.73,-7.141856797100443,-156846022.32000017,TrueUSD
2024-01-21,0.99429799,0.9979274148,0.9712254601,0.9881859666,1921647548.22,1881921474.47,-7.717546765407146,-157384383.26,TrueUSD
2024-01-28,0.9884923837,0.9946326365,0.9664603232,0.9894765322,921577796.39,1602415163.24,-14.8521771509471,-279506311.23,TrueUSD
2024-02-04,0.9891540287,0.9906338704,0.9844996323,0.984821177,514807631.05,1465864439.26,-8.521557154008796,-136550723.98000002,TrueUSD
2024-02-11,0.9848115193,0.9893742008,0.97919942,0.9827449622,599219297.4300001,1462773099.19,-0.21088853697552867,-3091340.0699999332,TrueUSD
2024-02-18,0.982641837,0.9915121285,0.9728838224,0.9802188889,739532056.77,1262969371.22,-13.65924271376332,-199803727.97000003,TrueUSD
2024-02-25,0.980313397,0.9810275658,0.9728694701,0.9746054462,612589165.44,1255736694.57,-0.5726723715408499,-7232676.650000095,TrueUSD
2024-03-03,0.9745033691,1.0015066918,0.9523368746,1.0004849408,1421227384.74,1289080291.69,2.655301645972674,33343597.120000124,TrueUSD
2024-03-10,1.0003634594,1.0058522064,0.9953681189,1.0012766063,943619289.8399999,1290100317.36,0.07912817196689126,1020025.6699998379,TrueUSD
2024-03-17,1.0012766063,1.0041175896,0.9968622905,1.0010497366,807761895.64,1139650545.41,-11.661866129749743,-150449771.9499998,TrueUSD
2024-03-24,1.0010497366,1.0333394106,0.9992931636,1.0263294024,814713576.39,628581053.46,-44.84440375239218,-511069491.95000005,TrueUSD
2024-03-31,1.0263294024,1.0304421553,0.999482245,0.9998806541,437806493.91,494397455.66,-21.347063685962475,-134183597.80000001,TrueUSD
2024-04-07,0.9998806541,1.0019167971,0.9978351254,1.0003694361,415341760.96,494884227.61,0.0984576163221007,486771.9499999881,TrueUSD
2024-04-14,1.0003694361,1.0036982515,0.9958139255,0.99976568,471823830.7,509572472.0,2.9680162693678014,14688244.389999986,TrueUSD
