timestamp,crypto,open,high,low,close,volume,market_cap,price_deviation,percentage_deviation,rolling_std_dev,true_range,volume_to_market_cap_ratio,volume_change,market_cap_change
2023-07-26,FDUSD,0.9998491938,1.002448282,0.9986508315,1.001076889,5662763.75,20126065.35,0.0010768889999999143,0.10768889999999143,,0.0037974505000000214,0.2813646707154312,,
2023-07-27,FDUSD,1.001065835,1.004020789,0.9987751166,1.001170939,414184.92,20228013.19,0.001170939000000093,0.1170939000000093,6.650339277079967e-05,0.005245672399999957,0.020475808281792008,-0.9268581670919964,0.005065463031501016
2023-07-28,FDUSD,1.001162349,1.002452075,0.999532958,1.001668466,1356036.51,20238065.4,0.001668465999999924,0.1668465999999924,0.0003178946012853608,0.0029191170000001376,0.06700425575262743,2.2739881258834824,0.0004969449992728858
2023-07-29,FDUSD,1.001556578,1.059593205,1.000027422,1.001001251,625628.88,20224584.76,0.0010012509999999253,0.10012509999999253,0.00030083672838868006,0.05956578300000004,0.030934077877206312,-0.5386341920838105,-0.0006661031938357542
2023-07-30,FDUSD,1.001016605,1.002443491,0.9994681842,1.001001251,625628.88,20224584.76,0.0010012509999999253,0.10012509999999253,0.00027979669640511187,0.0029753067999999105,0.030934077877206312,0.0,0.0
2023-07-31,FDUSD,1.001016605,1.002443491,0.9994681842,1.001001251,625628.88,20224584.76,0.0010012509999999253,0.10012509999999253,0.0002611139474761546,0.0029753067999999105,0.030934077877206312,0.0,0.0
2023-08-01,FDUSD,1.001016605,1.002443491,0.9994681842,1.000649198,206319709.6,154552625.3,0.000649198000000073,0.0649198000000073,0.0003051650322370411,0.0029753067999999105,1.3349479453973403,328.77970837919116,6.641819455580259
2023-08-02,FDUSD,1.000597984,1.00104618,0.9996592042,0.9999925145,68809615.8,257545527.3,7.485499999959622e-06,0.0007485499999959622,0.0004775032957455513,0.0013869757999999122,0.2671745711190225,-0.6664903419387131,0.6663937399968578
2023-08-03,FDUSD,0.9998969843,1.000994176,0.9996443921,1.000572255,23911403.41,258695498.4,0.0005722550000000215,0.05722550000000215,0.0004636422051426989,0.0013497839000000678,0.09243068997291837,-0.6524991001330369,0.004465117729109069
2023-08-04,FDUSD,1.00047776,1.001237442,0.9994772514,0.9999074023,29014607.45,291533545.3,9.259770000002998e-05,0.009259770000002998,0.0005388468477584656,0.0017601906000001,0.09952407850747595,0.21342135183356858,0.1269370634707574
